Date,Close
1994-11-29,647.33
1994-11-30,648.2
1994-12-01,646.3
1994-12-02,653.24
1994-12-05,651.88
1994-12-06,658.75
1994-12-07,654.08
1994-12-08,655.12
1994-12-09,657.52
1994-12-12,653.89
1994-12-13,657.39
1994-12-14,657.32
1994-12-15,657.52
1994-12-16,657.84
1994-12-19,659.59
1994-12-20,659.01
1994-12-21,660.05
1994-12-22,658.62
1994-12-23,660.44
1994-12-27,666.14
1994-12-28,661.28
1994-12-29,659.79
1994-12-30,658.09
1995-01-03,655.83
1995-01-04,661.36
1995-01-05,657.22
1995-01-06,659.91
1995-01-09,658.47
1995-01-10,660.64
1995-01-11,662.22
1995-01-12,659.65
1995-01-13,665.97
1995-01-17,667.15
1995-01-18,667.55
1995-01-19,665.25
1995-01-20,660.51
1995-01-23,660.77
1995-01-24,659.59
1995-01-25,663.6
1995-01-26,665.84
1995-01-27,673.34
1995-01-30,672.22
1995-01-31,675.17
1995-02-01,673.59
1995-02-02,672.45
1995-02-03,683.65
1995-02-06,681.97
1995-02-07,681.7
1995-02-08,681.09
1995-02-09,678.32
1995-02-10,676.5
1995-02-13,677.38
1995-02-14,681.76
1995-02-15,684.53
1995-02-16,685.14
1995-02-17,684.19
1995-02-21,683.05
1995-02-22,688.85
1995-02-23,686.96
1995-02-24,688.18
1995-02-27,692.16
1995-02-28,694.51
1995-03-01,694.84
1995-03-02,691.23
1995-03-03,687.47
1995-03-06,685.74
1995-03-07,683.03
1995-03-08,688.03
1995-03-09,691.16
1995-03-10,695.53
1995-03-13,696.92
1995-03-14,704.77
1995-03-15,704.21
1995-03-16,705.39
1995-03-17,703.03
1995-03-20,701.3
1995-03-21,698.52
1995-03-22,697.27
1995-03-23,696.5
1995-03-24,703.59
1995-03-27,707.48
1995-03-28,701.85
1995-03-29,703.38
1995-03-30,701.02
1995-03-31,700.52
1995-04-03,705.05
1995-04-04,705.4
1995-04-05,705.68
1995-04-06,707.44
1995-04-07,705.12
1995-04-10,705.4
1995-04-11,707.16
1995-04-12,708.28
1995-04-13,710.8
1995-04-17,707.79
1995-04-18,707.72
1995-04-19,709.68
1995-04-20,711.08
1995-04-21,712.34
1995-04-24,714.44
1995-04-25,713.67
1995-04-26,714.16
1995-04-27,713.11
1995-04-28,712.91
1995-05-01,712.17
1995-05-02,714.02
1995-05-03,720.08
1995-05-04,728
1995-05-05,738.91
1995-05-08,738.62
1995-05-09,744.25
1995-05-10,741.12
1995-05-11,740.05
1995-05-12,740.05
1995-05-15,744.04
1995-05-16,750.53
1995-05-17,751.38
1995-05-18,747.46
1995-05-19,747.39
1995-05-22,746.96
1995-05-23,751.1
1995-05-24,760.22
1995-05-25,762.08
1995-05-26,760.58
1995-05-30,767.14
1995-05-31,767.9
1995-06-01,773.41
1995-06-02,779.94
1995-06-05,781.47
1995-06-06,781.86
1995-06-07,779.63
1995-06-08,776.63
1995-06-09,764.5
1995-06-12,765.34
1995-06-13,779.09
1995-06-14,778.48
1995-06-15,775.56
1995-06-16,774.56
1995-06-19,780.63
1995-06-20,779.4
1995-06-21,781.39
1995-06-22,789.54
1995-06-23,786.16
1995-06-26,783.47
1995-06-27,781.78
1995-06-28,785.7
1995-06-29,774.02
1995-06-30,776.86
1995-07-03,777.37
1995-07-05,779.63
1995-07-06,789.96
1995-07-07,788.64
1995-07-10,790.12
1995-07-11,784.68
1995-07-12,786.85
1995-07-13,786.7
1995-07-14,783.12
1995-07-17,777.22
1995-07-18,772.64
1995-07-19,760.28
1995-07-20,761.84
1995-07-21,754.46
1995-07-24,760.52
1995-07-25,765.1
1995-07-26,761.06
1995-07-27,765.18
1995-07-28,760.28
1995-07-31,764.25
1995-08-01,759.49
1995-08-02,764.38
1995-08-03,759.49
1995-08-04,761.86
1995-08-07,763.31
1995-08-08,763.77
1995-08-09,761.17
1995-08-10,757.58
1995-08-11,751.62
1995-08-14,753.07
1995-08-15,756.66
1995-08-16,759.26
1995-08-17,758.72
1995-08-18,758.8
1995-08-21,762.09
1995-08-22,760.1
1995-08-23,758.27
1995-08-24,764.92
1995-08-25,775.23
1995-08-28,776.46
1995-08-29,775.23
1995-08-30,777.22
1995-08-31,781.37
1995-09-01,784.47
1995-09-05,789.39
1995-09-06,788.77
1995-09-07,786.34
1995-09-08,785.8
1995-09-11,786.34
1995-09-12,792.6
1995-09-13,790.02
1995-09-14,796.11
1995-09-15,794.86
1995-09-18,790.02
1995-09-19,793.53
1995-09-20,797.05
1995-09-21,787.98
1995-09-22,786.34
1995-09-25,786.73
1995-09-26,786.34
1995-09-27,786.11
1995-09-28,786.34
1995-09-29,795.91
1995-10-02,796.37
1995-10-03,799.55
1995-10-04,802.73
1995-10-05,803.61
1995-10-06,804.88
1995-10-10,805.6
1995-10-11,805.28
1995-10-12,808.39
1995-10-13,818.34
1995-10-16,816.5
1995-10-17,818.1
1995-10-18,816.19
1995-10-19,818.26
1995-10-20,814.2
1995-10-23,812.68
1995-10-24,817.86
1995-10-25,818.1
1995-10-26,812.37
1995-10-27,815.55
1995-10-30,815.95
1995-10-31,818.1
1995-11-01,821.51
1995-11-02,825.85
1995-11-03,824.46
1995-11-06,823.56
1995-11-07,821.35
1995-11-08,827.16
1995-11-09,823.56
1995-11-13,824.54
1995-11-14,823.07
1995-11-15,821.51
1995-11-16,825.93
1995-11-17,827.08
1995-11-20,826.1
1995-11-21,823.48
1995-11-22,823.89
1995-11-24,827.41
1995-11-27,830.35
1995-11-28,829.53
1995-11-29,832.31
1995-11-30,839.08
1995-12-01,843.17
1995-12-04,851.81
1995-12-05,849.04
1995-12-06,849.71
1995-12-07,846.36
1995-12-08,847.28
1995-12-11,849.38
1995-12-12,848.54
1995-12-13,847.28
1995-12-14,846.69
1995-12-15,845.94
1995-12-18,836.46
1995-12-19,844.18
1995-12-20,844.26
1995-12-21,844.6
1995-12-22,849.63
1995-12-26,852.23
1995-12-27,855.17
1995-12-28,858.36
1995-12-29,861.46
1996-01-02,860.92
1996-01-03,862.81
1996-01-04,856.69
1996-01-05,854.11
1996-01-08,854.71
1996-01-09,853.33
1996-01-10,843.51
1996-01-11,844.81
1996-01-12,844.81
1996-01-16,852.65
1996-01-17,860.31
1996-01-18,862.38
1996-01-19,863.67
1996-01-22,857.47
1996-01-23,854.11
1996-01-24,859.8
1996-01-25,851.09
1996-01-26,857.81
1996-01-29,854.11
1996-01-30,859.54
1996-01-31,861.23
1996-02-01,857.06
1996-02-02,850.95
1996-02-05,851.55
1996-02-06,853.1
1996-02-07,852.59
1996-02-08,852.24
1996-02-09,853.02
1996-02-12,858.27
1996-02-13,859.48
1996-02-14,855.69
1996-02-15,848.19
1996-02-16,841.91
1996-02-20,827.01
1996-02-21,827.61
1996-02-22,830.54
1996-02-23,823.9
1996-02-26,822.35
1996-02-27,820.46
1996-02-29,819.44
1996-03-01,828.43
1996-03-04,833.1
1996-03-05,828.51
1996-03-06,823.51
1996-03-07,822.03
1996-03-08,796.47
1996-03-11,806.55
1996-03-12,804.09
1996-03-13,801.22
1996-03-14,801.79
1996-03-15,795.24
1996-03-18,799.01
1996-03-19,799.66
1996-03-20,804.82
1996-03-21,807.28
1996-03-22,805.07
1996-03-25,811.95
1996-03-26,811.38
1996-03-27,802.12
1996-03-28,797.61
1996-03-29,803.27
1996-04-01,805.66
1996-04-02,809.35
1996-04-03,807.66
1996-04-04,804.61
1996-04-08,786.22
1996-04-09,790.23
1996-04-10,784.69
1996-04-11,781.4
1996-04-12,793.61
1996-04-15,796.5
1996-04-16,796.82
1996-04-17,793.85
1996-04-18,791.2
1996-04-19,794.49
1996-04-22,798.99
1996-04-23,797.22
1996-04-24,793.77
1996-04-25,794.73
1996-04-26,797.06
1996-04-29,794.49
1996-04-30,789.78
1996-05-01,789.36
1996-05-02,777.52
1996-05-03,772.38
1996-05-06,775.86
1996-05-07,774.67
1996-05-08,781.7
1996-05-09,779.96
1996-05-10,787.63
